DATE,HOUR-MST,Avg Global PSP [W/m^2],Avg Global Extraterrestrial (calc) [W/m^2],Avg Direct NIP #2 [W/m^2],Avg Diffuse PSP (sband corr) [W/m^2],Avg Total Cloud Cover [%],Avg Opaque Cloud Cover [%]
7/1/2008,1,-3.7689,0.0000,-0.5083,-2.7778,-1.0000,-1.0000
7/1/2008,2,-3.8685,0.0000,-0.7170,-2.9227,-1.0000,-1.0000
7/1/2008,3,-4.3151,0.0000,-0.9767,-3.2087,-1.0000,-1.0000
7/1/2008,4,-4.7032,0.0000,-0.8951,-3.4293,-1.0000,-1.0000
7/1/2008,5,1.9801,13.4839,13.8688,2.4792,-1.0000,-1.0000
7/1/2008,6,101.2381,194.8668,458.3350,65.9080,3.2333,2.1167
7/1/2008,7,286.6487,436.9565,695.9240,94.3488,2.4667,1.2167
7/1/2008,8,460.5290,672.8366,737.5538,107.9670,4.9833,2.6667
7/1/2008,9,676.6082,885.6745,873.0090,92.4837,1.3000,1.1000
7/1/2008,10,799.2457,1060.8331,780.4495,173.5536,20.7000,15.0667
7/1/2008,11,341.7740,1186.3308,141.8868,215.3336,77.5667,52.2833
7/1/2008,12,147.3835,1253.5944,-7.3697,144.2280,93.4000,70.3000
7/1/2008,13,326.5173,1258.0281,47.8967,290.1796,95.1833,79.0500
7/1/2008,14,837.9098,1199.3239,458.9138,422.8983,78.3000,53.3500
7/1/2008,15,518.4680,1081.4820,145.9828,390.5160,93.0333,72.7333
7/1/2008,16,282.5932,912.5420,50.4607,251.3976,98.4167,83.2833
7/1/2008,17,329.4040,704.0467,103.1738,281.1956,96.6000,68.4333
7/1/2008,18,144.7833,470.3076,-0.7987,144.7833,98.9500,83.4500
7/1/2008,19,60.0853,227.8017,-2.0136,60.0853,91.0667,58.0500
7/1/2008,20,0.8905,26.1629,-1.3336,1.4707,3.4667,0.3333
7/1/2008,21,-4.0845,0.0000,0.0534,-3.1097,-1.0000,-1.0000
7/1/2008,22,-2.6519,0.0000,-0.0500,-2.0380,-1.0000,-1.0000
7/1/2008,23,-2.5876,0.0000,0.0276,-1.9242,-1.0000,-1.0000
7/2/2008,0,-3.1162,0.0000,-0.2066,-2.2384,-1.0000,-1.0000
7/2/2008,1,-2.4560,0.0000,0.4540,-1.8837,-1.0000,-1.0000
7/2/2008,2,-4.3845,0.0000,-0.2328,-3.4091,-1.0000,-1.0000
7/2/2008,3,-5.0925,0.0000,-1.3629,-3.7446,-1.0000,-1.0000
7/2/2008,4,-4.8753,0.0000,-0.6446,-3.4928,-1.0000,-1.0000
7/2/2008,5,1.9015,12.8593,23.9032,2.5683,-1.0000,-1.0000
7/2/2008,6,89.9912,193.0214,340.4492,63.6591,2.6333,1.4833
7/2/2008,7,297.7310,435.2145,553.7288,146.8992,21.6833,2.9833
7/2/2008,8,393.8105,671.2644,475.4298,160.4811,27.2667,10.7167
7/2/2008,9,645.0890,884.3111,794.0450,107.1813,6.1333,4.4000
7/2/2008,10,845.8680,1059.7019,919.8567,94.6954,1.0000,1.0000
7/2/2008,11,971.7427,1185.4381,935.7275,104.0627,1.0000,1.0000
7/2/2008,12,1033.6300,1252.9295,930.6010,119.6956,4.1500,2.7000
7/2/2008,13,1058.7283,1257.5646,924.8027,155.7120,11.5500,6.4333
7/2/2008,14,832.0637,1199.0210,644.7192,234.6780,44.9000,25.7833
7/2/2008,15,33.5269,1081.2874,-4.5929,33.5269,96.0333,70.3500
7/2/2008,16,241.8705,912.3953,22.4335,231.3956,96.8500,81.5667
7/2/2008,17,307.7855,703.8839,100.1897,256.7237,95.0167,77.9000
7/2/2008,18,136.4082,470.0660,36.0060,128.2609,55.5167,33.0500
7/2/2008,19,43.6734,227.4261,15.9244,41.8145,42.0167,18.0667
7/2/2008,20,2.2501,25.9231,-2.3343,2.7093,2.4167,1.1667
7/2/2008,21,-4.1897,0.0000,-2.6549,-3.0633,-1.0000,-1.0000
7/2/2008,22,-1.3503,0.0000,0.1089,-0.9372,-1.0000,-1.0000
7/2/2008,23,-1.2088,0.0000,0.1392,-0.8822,-1.0000,-1.0000
7/3/2008,0,-4.3138,0.0000,-1.1075,-3.3081,-1.0000,-1.0000
7/3/2008,1,-2.3355,0.0000,0.6475,-1.9131,-1.0000,-1.0000
7/3/2008,2,-3.0034,0.0000,0.1247,-2.4858,-1.0000,-1.0000
7/3/2008,3,-2.5028,0.0000,0.2692,-2.1728,-1.0000,-1.0000
7/3/2008,4,-4.3151,0.0000,-0.4734,-3.1526,-1.0000,-1.0000
7/3/2008,5,0.4221,12.2117,2.7592,0.8113,-1.0000,-1.0000
7/3/2008,6,89.1517,191.1007,319.5506,64.2351,4.7333,3.7000
7/3/2008,7,271.5990,433.4105,625.0698,95.0506,3.8667,2.8667
7/3/2008,8,423.4395,669.6428,587.2182,146.5465,13.4667,9.3167
7/3/2008,9,621.7975,882.9087,577.7844,221.5560,19.8000,12.0500
