DATE,HOUR-MST,Avg Global PSP [W/m^2],Avg Global Extraterrestrial (calc) [W/m^2],Avg Direct NIP #2 [W/m^2],Avg Diffuse PSP (sband corr) [W/m^2],Avg Total Cloud Cover [%],Avg Opaque Cloud Cover [%]
7/1/2009,1,-5.1389,0.0000,-1.8188,-3.8188,-1.0000,-1.0000
7/1/2009,2,-5.3441,0.0000,-1.3148,-4.0021,-1.0000,-1.0000
7/1/2009,3,-4.2937,0.0000,-0.3444,-3.3814,-1.0000,-1.0000
7/1/2009,4,-6.6459,0.0000,-1.1705,-5.0508,-1.0000,-1.0000
7/1/2009,5,2.0604,13.6104,48.7951,2.5030,-1.0000,-1.0000
7/1/2009,6,99.7680,195.2465,512.7485,52.3763,0.9667,0.9667
7/1/2009,7,281.6317,437.3487,722.9348,72.3176,1.0000,1.0000
7/1/2009,8,482.6755,673.2299,824.4773,79.7294,0.7667,0.7667
7/1/2009,9,696.1727,886.0597,795.7107,169.0941,18.5167,13.2167
7/1/2009,10,851.4573,1061.2022,616.0174,312.8387,42.8000,32.8500
7/1/2009,11,944.3728,1186.6769,858.9430,143.8703,14.5833,9.2667
7/1/2009,12,1047.0962,1253.9120,773.9113,286.7925,44.0500,31.9833
7/1/2009,13,443.0965,1258.3140,154.1764,279.4655,67.8667,55.4000
7/1/2009,14,381.0742,1199.5767,66.5129,318.1051,74.9333,49.5000
7/1/2009,15,296.6923,1081.7034,41.7195,256.2401,70.8333,51.0167
7/1/2009,16,176.5393,912.7353,0.2337,176.1680,90.0667,66.7833
7/1/2009,17,450.0562,704.2172,525.3864,186.5006,40.8833,29.9500
7/1/2009,18,290.7405,470.4625,489.4507,157.9348,50.9167,28.9667
7/1/2009,19,78.9129,227.9487,136.9417,58.0345,52.5833,33.7667
7/1/2009,20,-0.9678,26.2326,-2.5139,-0.5313,1.2667,0.9833
7/1/2009,21,-4.4322,0.0000,-0.5696,-3.2741,-1.0000,-1.0000
7/1/2009,22,-1.8417,0.0000,-1.8363,-1.3450,-1.0000,-1.0000
7/1/2009,23,0.1057,0.0000,-0.0691,0.2556,-1.0000,-1.0000
7/2/2009,0,-1.5817,0.0000,1.4177,-1.5002,-1.0000,-1.0000
7/2/2009,1,-2.0103,0.0000,1.2370,-1.6335,-1.0000,-1.0000
7/2/2009,2,-1.2544,0.0000,1.3782,-1.1158,-1.0000,-1.0000
7/2/2009,3,0.3582,0.0000,1.1937,-0.1404,-1.0000,-1.0000
7/2/2009,4,-1.0211,0.0000,-0.0313,-1.7702,-1.0000,-1.0000
7/2/2009,5,4.7199,12.9901,31.0863,4.0089,-1.0000,-1.0000
7/2/2009,6,94.8896,193.4314,422.1922,52.7041,0.9667,0.9667
7/2/2009,7,275.3685,435.6378,686.4003,73.2757,1.5000,1.1500
7/2/2009,8,475.6480,671.6884,798.1842,76.7427,1.4167,1.0000
7/2/2009,9,668.8085,884.7269,838.6028,98.5507,1.0000,1.0000
7/2/2009,10,829.5530,1060.1004,861.9355,116.2718,1.0333,1.0000
7/2/2009,11,957.6595,1185.8125,902.9787,121.4695,1.9000,1.2500
7/2/2009,12,779.8920,1253.2744,551.1228,242.2837,35.6333,22.6000
7/2/2009,13,124.6536,1257.8760,-3.8845,124.6536,93.6833,66.3333
7/2/2009,14,166.6711,1199.2985,-2.9072,166.6711,90.4167,52.3667
7/2/2009,15,148.6673,1081.5315,2.9685,148.0607,94.0000,61.8772
7/2/2009,16,74.0935,912.6103,-2.8726,74.0935,97.9000,69.9833
7/2/2009,17,211.0665,704.0760,17.8800,202.5838,94.9167,77.6833
7/2/2009,18,160.9579,470.2417,85.3260,130.4365,90.5833,59.3333
7/2/2009,19,35.1570,227.5939,-0.6977,35.1570,78.9667,44.1667
7/2/2009,20,2.5007,26.0028,-0.4529,2.8436,2.0333,0.6167
