DATE,HOUR-MST,Avg Global PSP [W/m^2],Avg Global Extraterrestrial (calc) [W/m^2],Avg Direct NIP #2 [W/m^2],Avg Diffuse PSP (sband corr) [W/m^2],Avg Total Cloud Cover [%],Avg Opaque Cloud Cover [%]
7/1/2006,1,-4.8636,0.0000,-0.1815,-3.7057,-1.0000,-1.0000
7/1/2006,2,-3.9527,0.0000,0.0868,-3.0565,-1.0000,-1.0000
7/1/2006,3,-3.2843,0.0000,0.1120,-2.3934,-1.0000,-1.0000
7/1/2006,4,-2.9729,0.0000,0.2123,-2.2483,-1.0000,-1.0000
7/1/2006,5,-2.0163,13.7913,-0.8729,-0.9133,-1.0000,-1.0000
7/1/2006,6,81.1633,195.7496,261.4319,58.8733,7.2833,4.8167
7/1/2006,7,259.1218,437.8074,559.0177,106.6508,5.9667,4.3000
7/1/2006,8,464.5233,673.6259,687.7900,132.9662,6.3500,4.6000
7/1/2006,9,672.4528,886.3836,760.4020,168.2561,7.7667,3.2833
7/1/2006,10,798.9632,1061.4499,763.7802,169.9903,2.4000,1.4833
7/1/2006,11,953.7087,1186.8499,818.7230,200.1082,10.2167,6.1000
7/1/2006,12,850.9457,1254.0169,450.4318,388.5126,48.9661,31.9153
7/1/2006,13,796.4198,1258.3623,412.6821,378.3106,54.5333,37.6000
7/1/2006,14,227.8157,1199.5841,-1.9838,227.8157,96.6333,78.3833
7/1/2006,15,221.4107,1081.6882,4.2468,217.4194,98.3667,85.9667
7/1/2006,16,330.4282,912.7174,55.3371,290.7451,85.9333,66.9333
7/1/2006,17,159.7303,704.2174,12.8425,156.0657,94.3667,82.8167
7/1/2006,18,134.6770,470.4995,20.5551,130.4766,81.9667,63.5500
7/1/2006,19,13.5001,228.0386,-0.9145,13.8428,75.8500,45.6333
7/1/2006,20,1.0014,26.2979,-3.4055,2.5107,7.1500,4.1167
7/1/2006,21,-2.6414,0.0000,1.0093,-1.9134,-1.0000,-1.0000
7/1/2006,22,-4.0431,0.0000,-0.4173,-2.8638,-1.0000,-1.0000
7/1/2006,23,-3.3215,0.0000,0.3346,-1.9893,-1.0000,-1.0000
7/2/2006,0,-3.2957,0.0000,0.2226,-2.1368,-1.0000,-1.0000
