DATE,HOUR-MST,Avg Global PSP [W/m^2],Avg Global Extraterrestrial (calc) [W/m^2],Avg Direct NIP #2 [W/m^2],Avg Diffuse PSP (sband corr) [W/m^2],Avg Total Cloud Cover [%],Avg Opaque Cloud Cover [%]
7/1/2010,1,-5.2196,0.0000,-1.4190,-4.7105,-1.0000,-1.0000
7/1/2010,2,-5.4524,0.0000,0.3604,-4.5991,-1.0000,-1.0000
7/1/2010,3,-4.4735,0.0000,-0.3096,-3.9156,-1.0000,-1.0000
7/1/2010,4,-4.3320,0.0000,-1.1404,-3.9473,-1.0000,-1.0000
7/1/2010,5,1.4128,13.7702,50.0203,2.0779,-1.0000,-1.0000
7/1/2010,6,95.2329,195.7059,492.1082,49.8325,0.9667,0.9667
7/1/2010,7,275.0248,437.7893,733.3268,65.0857,0.8833,0.8833
7/1/2010,8,471.2932,673.6325,839.1563,65.8199,0.7000,0.7000
7/1/2010,9,665.7753,886.4115,896.3980,71.1364,1.0000,1.0000
7/1/2010,10,838.1457,1061.4940,932.1625,83.9947,2.2143,1.7857
7/1/2010,11,765.2450,1186.9041,586.1376,236.0731,45.1167,30.9667
7/1/2010,12,428.3542,1254.0745,110.7529,315.5761,86.6833,63.8167
7/1/2010,13,483.6848,1258.4165,64.7707,412.0477,84.5333,64.1333
7/1/2010,14,891.1817,1199.6287,722.0968,227.4222,25.5000,16.7333
7/1/2010,15,848.1767,1081.7170,897.8293,110.8927,1.8167,1.0167
7/1/2010,16,430.5240,912.7261,381.1216,160.5962,27.0167,19.6167
7/1/2010,17,107.5534,704.2028,1.9215,105.5765,78.0333,67.1333
7/1/2010,18,289.8380,470.4602,606.9391,106.4715,18.5333,11.0667
7/1/2010,19,102.5417,227.9752,253.7124,67.3282,32.8833,21.2333
7/1/2010,20,2.0484,26.2599,-0.6756,2.2323,5.1333,3.5667
7/1/2010,21,-2.4731,0.0000,-0.2237,-1.9631,-1.0000,-1.0000
7/1/2010,22,-3.4829,0.0000,-2.5140,-3.7610,-1.0000,-1.0000
7/1/2010,23,-3.3221,0.0000,-0.2080,-2.8628,-1.0000,-1.0000
7/2/2010,0,-3.9709,0.0000,0.5253,-3.4150,-1.0000,-1.0000
7/2/2010,1,-2.6236,0.0000,0.1059,-2.3278,-1.0000,-1.0000
7/2/2010,2,-5.7077,0.0000,-0.1826,-4.8657,-1.0000,-1.0000
7/2/2010,3,-4.7810,0.0000,-0.0884,-3.9476,-1.0000,-1.0000
7/2/2010,4,-5.0128,0.0000,-0.8336,-4.3258,-1.0000,-1.0000
7/2/2010,5,3.2818,13.1497,22.3925,3.4294,-1.0000,-1.0000
7/2/2010,6,72.5812,193.9059,179.1331,65.1506,55.6500,33.7500
7/2/2010,7,154.3823,436.0847,60.5784,143.6474,91.4500,70.2500
7/2/2010,8,182.3203,672.0889,5.1713,182.3203,95.8667,84.4833
7/2/2010,9,400.5140,885.0685,86.5148,339.9501,94.6500,76.0667
7/2/2010,10,730.9748,1060.3767,442.0876,360.8290,70.5667,49.0167
7/2/2010,11,731.9425,1186.0203,340.2025,404.5272,62.0500,36.5000
7/2/2010,12,967.2620,1253.4164,766.0356,210.1179,27.2667,17.7333
7/2/2010,13,123.1161,1257.9593,-11.9629,122.8674,93.5333,66.4167
7/2/2010,14,334.5830,1199.3342,27.7540,303.5425,81.3500,43.0000
7/2/2010,15,662.5753,1081.5349,278.8915,412.0573,69.7000,46.6500
7/2/2010,16,590.7667,912.5982,612.9735,168.7037,20.7333,14.3667
7/2/2010,17,414.0545,704.0666,656.0241,70.4001,3.8667,3.2333
7/2/2010,18,155.6633,470.2540,178.4888,111.9917,45.0667,29.7500
7/2/2010,19,66.1304,227.6438,99.3916,51.4401,76.4333,46.2333
7/2/2010,20,-0.7710,26.0440,-1.0894,-0.2773,3.9167,2.0667
7/2/2010,21,-2.8938,0.0000,0.4162,-2.3323,-1.0000,-1.0000
7/2/2010,22,-2.5541,0.0000,-0.3733,-2.0656,-1.0000,-1.0000
